words,counts,alternate_key
p*****,122,
g*****,101,
p***,423,puta
g***,597,gago
t***,57,
g**d***,6,
p******,42,
b***s***,25,
y***,536,yawa
t********,17,
kat*********,1,
f***,175,fuck
p**,65,
p*,20,
l****,295,letse | leche
s***,256,shit
a**h***,1,
f******,25,
d***,28,
g******,32,
b****,168,bitch
p****,52,
l***,26,
l******,8,
o***,3,
godd***,3,
p*******,22,
t*******,24,
g****,25,
f*****,34,
b***s***in,1,
b*******,14,
kag******,2,
nagp*,3,
t****,67,
k***,1,
a******,2,
f*,1,
u***,306,ugok | bugok
b**********,1,
y****,11,
l*******,3,
y*****,19,
l*****,62,
pup***,1,
p*****i***,4,
p******i***,2,
t*****i***,1,
b***,69,
g*******,13,
b*****,28,
pinu****,2,
nagkal*****,5,
p****i***,2,
y***‖,1,
k*********,2,
ka*******,1,
t****i**,3,
nagkal****,4,
kag*******,3,
t*****,33,
godd*****,1,
kag*****,3,
f****,10,
magkal******,1,
p****i**,9,
mam*****,5,
s**,7,
pinup*******i**,1,
pag***,1,
kag***,1,
b*********,1,
mab*******,1,
b******,12,
l*,3,
s*****,12,
p*********,4,
g*,2,
b********,4,
a**,27,
mamut***,1,
kap***han,1,
t****i***,1,
t***i***,1,
nagp***han,1,
ginag***,2,
t**,21,
kap*****,1,
tinat**,1,
sinas**,1,
g**d****,2,
s******,5,
nagk****,1,
k****,3,
p******i**,2,
u*****,6,
b***s*****,1,
s*******,2,
b*****s***,1,
bin****s***,2,
magkal*****,1,
nagkakal****,1,
k********,2,
s****,6,
ka****han,1,
kap****han,1,
d******,2,
u******,2,
p***i***,3,
v******,2,
w*****,3,
w****,2,
bin***,1,
makad***,1,
q**,5,
s*,5,
j***,5,
*****i**,1,
binub***,1,
ginal*,1,
c****,4,
u**,2,
a*****,3,
ma*****,1,
namum******,1,
pinip****,1,
kap******,1,
p***han,1,
bulls***,1,
pinup****,1,
nagb*,1,
kap****,1,
pinut****,1,
b***t,1,
p***inang,1,
t****ina,1,
g*g*,1,
tar****do,1,
sh**ing,1,
p****ina,1,
p*****ina,3,
h*****,1,
w****”,1,
p***tanggalin,1,
p******a,1,
p*******i**,3,
a***es,1,
t*********do,1,
p*****pari,1,
f***ing,4,
u****,3,
pu**,1,
pu****,1,
pu*****,1,
h***,5,
pup***hin,1,
f**,1,
g***ng,7,
magd***,2,
kag***han,1,
magkal****,1,
pi*****,3,
mamu****,1,
g**,5,
binub*****,1,
m*****,1,
p********i**,2,
g**a,1,
kat******han,1,
kau*****,1,
y***kaya,1,
y***ng,1,
g***hin,1,
pin*****,1,
t*****do,1,
b****s***,1,
mamumu****i**,1,
p*****i****,3,
b***g,1,
k*****,1,
mam******,1,
d*****,2,
mamut****,1,
pinakab*****,1,
g****g****,1,
pi******,2,
b****‖,1,
w*****h***,1,
p****i****,2,
p***hin,3,
s***and,1,
t*****i**,1,
god****,3,
m****,4,
m****nic,1,
y******,1,
kaga****,1,
ka******,1,
pinup***,3,
namut****i**,1,
nagpuput*******,1,
nagpuput*****,1,
s*********,1,
magpah*****,1,
p***sigeg,1,
nagl*****,1,
v*****,1,
nagpapas***,1,
sh**,2,
nagpapah****,1,
pi********,1,
maamp***,1,
mal*,1,
godd****,1,
g***huwag,1,
b****s*****,1,
g***in,1,
filipinopu******,1,
sonofab*tch,1,
b***s***ing,1,
pu******,1,
o*****,1,
magkat**,1,
tubigt***,1,
b******we,1,
b****my,1,
s***human,1,
g********,2,
s***i,2,
s***alam,1,
h****,1,
nagpapah***,1,
d****,1,
h******i,1,
p*****two,1,
g****g***,1,
pulist****,1,
p*****i*****,1,
humanitynagp*,1,
p****–,1,
l***h***,1,
mop***i**,1,
mab******,1,
b****kayong,1,
p***tanungin,1,
sinop******i**,1,
f*****sinong,1,
mindp****i**,1,
p****i**me,1,
s******bakit,1,
a***,2,
h**,1,
s***sige,1,
a**huwag,1,
f***s,1,
taran****,1,
putang ina,2563,
tang ina,555,t***i** | t****** | tangina | tang ina
